accessionyear,technique,dateend,creditline,primaryimageurl,places/0/placeid,places/0/type,places/0/displayname,medium,url,id,title,division,datebegin,classification,images/0/baseimageurl,images/0/publiccaption,images/0/displayorder,images/0/idsid,images/0/copyright,images/0/renditionnumber,dimensions,culture,images/1/baseimageurl,images/1/publiccaption,images/1/displayorder,images/1/idsid,images/1/copyright,images/1/renditionnumber,images/2/baseimageurl,images/2/publiccaption,images/2/displayorder,images/2/idsid,images/2/copyright,images/2/renditionnumber,images/3/baseimageurl,images/3/publiccaption,images/3/displayorder,images/3/idsid,images/3/copyright,images/3/renditionnumber,images/4/baseimageurl,images/4/publiccaption,images/4/displayorder,images/4/idsid,images/4/copyright,images/4/renditionnumber,images/5/baseimageurl,images/5/publiccaption,images/5/displayorder,images/5/idsid,images/5/copyright,images/5/renditionnumber,images/6/baseimageurl,images/6/publiccaption,images/6/displayorder,images/6/idsid,images/6/copyright,images/6/renditionnumber,images/7/baseimageurl,images/7/publiccaption,images/7/displayorder,images/7/idsid,images/7/copyright,images/7/renditionnumber,images/8/baseimageurl,images/8/publiccaption,images/8/displayorder,images/8/idsid,images/8/copyright,images/8/renditionnumber,images/9/baseimageurl,images/9/publiccaption,images/9/displayorder,images/9/idsid,images/9/copyright,images/9/renditionnumber,places/1/placeid,places/1/type,places/1/displayname
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51208_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze; with an inscription cast behind the animal's neck,http://harvardartmuseums.org/collections/object/204313,204313,Pigment Container,Asian and Mediterranean Art,-1400,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51208_dynmc,,1,17386512,President and Fellows of Harvard College,51208,"H. 16.4 x W. 14.3 x D. 19.8 cm (6 7/16 x 5 5/8 x 7 13/16 in.)
Weight 1550.72 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:48881_dynmc,,2,43183147,President and Fellows of Harvard College,48881,http://nrs.harvard.edu/urn-3:HUAM:48888_dynmc,,3,43183148,President and Fellows of Harvard College,48888,http://nrs.harvard.edu/urn-3:HUAM:51209_dynmc,,4,17386513,President and Fellows of Harvard College,51209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51310_dynmc,2028317,Creation Place,"East Asia, China",Black-surfaced cast bronze; with dedicatory inscription by Qing cast on vessel floor,http://harvardartmuseums.org/collections/object/204344,204344,'Zun' Ritual Wine Vessel with Decorative Bands of Birds and Dragons,Asian and Mediterranean Art,-1050,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51310_dynmc,,1,17386603,President and Fellows of Harvard College,51310,H. 25.8 x Diam. 20.2 cm (10 3/16 x 7 15/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44514_dynmc,,2,43182667,President and Fellows of Harvard College,44514,http://nrs.harvard.edu/urn-3:HUAM:44516_dynmc,,3,43182668,President and Fellows of Harvard College,44516,http://nrs.harvard.edu/urn-3:HUAM:51311_dynmc,,4,17386604,President and Fellows of Harvard College,51311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,232,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51068_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with integrally cast auspicious inscription,http://harvardartmuseums.org/collections/object/204349,204349,Circular Mirror with Decoration of Daoist Immortals and Dragons,Asian and Mediterranean Art,167,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:51068_dynmc,,1,17386407,President and Fellows of Harvard College,51068,Diam. 12.4 x Thickness 1.1 cm (4 7/8 x 7/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44491_dynmc,,2,43182661,President and Fellows of Harvard College,44491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:30649_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with greenish patina,http://harvardartmuseums.org/collections/object/204351,204351,Ritual Bell (Bo zhong) with Stylized Dragon and Snake Decor and with Handle in the Form of Addorsed Birds,Asian and Mediterranean Art,-475,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:30649_dynmc,,1,17357890,President and Fellows of Harvard College,30649,"H. 51.2 x W. 36.8 x D. 31.1 cm (20 3/16 x 14 1/2 x 12 1/4 in.)
Weight 66 lb.",Chinese,http://nrs.harvard.edu/urn-3:HUAM:30650_dynmc,,2,17357891,President and Fellows of Harvard College,30650,http://nrs.harvard.edu/urn-3:HUAM:30651_dynmc,,3,17357892,President and Fellows of Harvard College,30651,http://nrs.harvard.edu/urn-3:HUAM:48867_dynmc,,4,43183142,President and Fellows of Harvard College,48867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51092_dynmc,2035859,Creation Place,"East Asia, China, Henan province, Anyang",Cast bronze; with inscription cast on the vessel floor,http://harvardartmuseums.org/collections/object/204356,204356,'Yu' Ritual Food Vessel with 'Taotie'  and Striding 'Kui'-Dragon Decor,Asian and Mediterranean Art,-1300,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51092_dynmc,,1,17386423,President and Fellows of Harvard College,51092,"H. 19.3 x Diam. 26.6 cm (7 5/8 x 10 1/2 in.)
Weight 4637.98 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:48918_dynmc,,2,43183160,President and Fellows of Harvard College,48918,http://nrs.harvard.edu/urn-3:HUAM:48919_dynmc,,3,43183161,President and Fellows of Harvard College,48919,http://nrs.harvard.edu/urn-3:HUAM:51093_dynmc,,4,17386424,President and Fellows of Harvard College,51093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS48974_dynmc,2028317,Creation Place,"East Asia, China",Cast Bronze,http://harvardartmuseums.org/collections/object/204394,204394,"Circular Mirror with Decoration of Four Fantastic, Long-Tailed Creatures against a Patterned Ground",Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:VRS48974_dynmc,,1,20682345,President and Fellows of Harvard College,48974,"Diam. 13.6 cm (5 3/8 in.)
Weight 156 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-1028,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:huam:INV227838_dynmc,2028317,Creation Place,"East Asia, China",Bronze with turquoise inlay,http://harvardartmuseums.org/collections/object/204445,204445,Dagger-Axe (Ge),Asian and Mediterranean Art,-1699,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:huam:INV227838_dynmc,,1,23764369,,INV227838,,Chinese,http://nrs.harvard.edu/urn-3:huam:INV227839_dynmc,,2,23764370,,INV227839,http://nrs.harvard.edu/urn-3:HUAM:VRS49185_dynmc,,3,20682412,President and Fellows of Harvard College,49185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:INV215888_dynmc,2028317,Creation Place,"East Asia, China",Cast Bronze with traces of gold,http://harvardartmuseums.org/collections/object/204464,204464,Circular Double-Tier Mirror with Openwork Decoration of Intertwined Dragons,Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:INV215888_dynmc,,1,13565642,President and Fellows of Harvard College,INV215888,"Diam. 14.3 cm (5 5/8 in.)
Weight: 252 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:CARP09161_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/204476,204476,"AXEHEAD, SOCKET AND FLANGE BRONZE",Asian and Mediterranean Art,0,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:CARP09161_dynmc,,1,18722989,President and Fellows of Harvard College,CARP09161,,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:50824_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204565,204565,'Ge' Dagger-Axe with Decorative Extensions,Asian and Mediterranean Art,-1400,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:50824_dynmc,,1,17358204,President and Fellows of Harvard College,50824,L. 24.2 x W. 7.4 x D. 3.3 cm (9 1/2 x 2 15/16 x 1 5/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:49171_dynmc,,2,43183192,President and Fellows of Harvard College,49171,http://nrs.harvard.edu/urn-3:HUAM:50754_dynmc,side A,3,17358153,President and Fellows of Harvard College,50754,http://nrs.harvard.edu/urn-3:HUAM:50755_dynmc,side B,4,17358154,President and Fellows of Harvard College,50755,http://nrs.harvard.edu/urn-3:HUAM:50825_dynmc,side B,5,17358205,President and Fellows of Harvard College,50825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:INV227465_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with black and greenish patina and remnants of oxidized cord on the hilt and traces of wood on the blade; inscription (added later) inlaid in gold,http://harvardartmuseums.org/collections/object/204596,204596,Sword with Inscription on Blade,Asian and Mediterranean Art,-475,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:INV227465_dynmc,,1,22804281,President and Fellows of Harvard College,INV227465,45.7 x 5.2 x 4 cm (18 x 2 1/16 x 1 9/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-900,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51077_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204623,204623,Cheekpieces for a Horse's Harness (One of Four),Asian and Mediterranean Art,-1100,Riding Equipment,http://nrs.harvard.edu/urn-3:HUAM:51077_dynmc,,1,17386414,President and Fellows of Harvard College,51077,Diam. 9.6 x Thickness 2.7 cm (3 3/4 x 1 1/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-900,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51078_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204642,204642,Cheekpieces for a Horse's Harness (One of Four),Asian and Mediterranean Art,-1099,Riding Equipment,http://nrs.harvard.edu/urn-3:HUAM:51078_dynmc,,1,17386415,President and Fellows of Harvard College,51078,2.6 x 9.5 cm (1 x 3 3/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-1500,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:INV215853_dynmc,2028317,Creation Place,"East Asia, China",Bronze inlaid with turquoise; incrustations of greenish patina and earth with impressions of a closely woven fabric,http://harvardartmuseums.org/collections/object/204654,204654,Turquoise-Inlaid Plaque with Stylized Animal-Mask Decoration,Asian and Mediterranean Art,-1900,Plaques,http://nrs.harvard.edu/urn-3:HUAM:INV215853_dynmc,front,1,13557829,President and Fellows of Harvard College,INV215853,H. 16.1 x W. 10 x D. 0.5 cm (6 5/16 x 3 15/16 x 3/16 in.),Chinese,http://nrs.harvard.edu/urn-3:huam:INV227814_dynmc,front,2,23764345,,INV227814,http://nrs.harvard.edu/urn-3:huam:INV227815_dynmc,back,3,23764346,,INV227815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51033_dynmc,2028317,Creation Place,"East Asia, China",Gilt bronze with turquoise inlay,http://harvardartmuseums.org/collections/object/204659,204659,Dragon-Headed Belt Hook,Asian and Mediterranean Art,-475,Jewelry,http://nrs.harvard.edu/urn-3:HUAM:51033_dynmc,,1,17386377,President and Fellows of Harvard College,51033,20 x 1.5 x 4 cm (7 7/8 x 9/16 x 1 9/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:20453_dynmc,,2,43181953,President and Fellows of Harvard College,20453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. Denman W. Ross",http://nrs.harvard.edu/urn-3:HUAM:VRS33879_dynmc,2035859,Creation Place,"East Asia, China, Henan province, Anyang",Cast bronze,http://harvardartmuseums.org/collections/object/209907,209907,Ritual Food Steamer (Yan) with Bovine Decor,Asian and Mediterranean Art,-1100,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS33879_dynmc,,1,20674944,President and Fellows of Harvard College,33879,H. 31.8 x Diam. 24.1 cm (12 1/2 x 9 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Hervey E. Wetzel",http://nrs.harvard.edu/urn-3:HUAM:DDC251406_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with olive-green patina,http://harvardartmuseums.org/collections/object/209921,209921,Ritual Vessel in the Form of a Water Buffalo,Asian and Mediterranean Art,-1400,Vessels,http://nrs.harvard.edu/urn-3:HUAM:DDC251406_dynmc,,1,47459190,President and Fellows of Harvard College,DDC251406,"H. 16.7 x W. 21.7 x D. 9.9 cm (6 9/16 x 8 9/16 x 3 7/8 in.)
Weight: 3614.56 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:DDC251365_dynmc,,2,47459183,President and Fellows of Harvard College,DDC251365,http://nrs.harvard.edu/urn-3:HUAM:DDC251402_dynmc,,3,47459186,President and Fellows of Harvard College,DDC251402,http://nrs.harvard.edu/urn-3:HUAM:DDC251403_dynmc,,4,47459187,President and Fellows of Harvard College,DDC251403,http://nrs.harvard.edu/urn-3:HUAM:DDC251404_dynmc,,5,47459188,President and Fellows of Harvard College,DDC251404,http://nrs.harvard.edu/urn-3:HUAM:DDC251405_dynmc,,6,47459189,President and Fellows of Harvard College,DDC251405,http://nrs.harvard.edu/urn-3:HUAM:VRS38478_dynmc,,7,20678149,President and Fellows of Harvard College,38478,,,,,,,,,,,,,,,,,,,,,
2006,,907,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",http://nrs.harvard.edu/urn-3:HUAM:CARP00154_dynmc,2028317,Creation Place,"East Asia, China",Turned bronze,http://harvardartmuseums.org/collections/object/169494,169494,Bowl with Lightly Inverted Lip and Bowstring Lines,Asian and Mediterranean Art,618,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP00154_dynmc,,1,18210597,President and Fellows of Harvard College,CARP00154,H. 9 x Diam. 19.2 cm (3 9/16 x 7 9/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,900,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",http://nrs.harvard.edu/urn-3:HUAM:CARP00153_dynmc,2028317,Creation Place,"East Asia, China",Silvered bronze,http://harvardartmuseums.org/collections/object/176970,176970,Small Compressed Ovoid 'Chuihu' Bottle with Decoration of Bowstring Lines,Asian and Mediterranean Art,700,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP00153_dynmc,,1,18210596,President and Fellows of Harvard College,CARP00153,H. 5.8 x Diam. 6.2 cm (2 5/16 x 2 7/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,-206,"Harvard Art Museums/Arthur M. Sackler Museum, David A. Ellis Oriental Art Fund",http://nrs.harvard.edu/urn-3:HUAM:CARP03858_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/185128,185128,"'Pushou' Mask Handle with a Suspended Ring, Perhaps One Handle from a Set of Handles for a Coffin",Asian and Mediterranean Art,-221,Tools and Equipment,http://nrs.harvard.edu/urn-3:HUAM:CARP03858_dynmc,,1,18731428,President and Fellows of Harvard College,CARP03858,H. 12 x W. 16.1 cm (4 3/4 x 6 5/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. Arnold Knapp",http://nrs.harvard.edu/urn-3:HUAM:LEG002967_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with patina and encrustation,http://harvardartmuseums.org/collections/object/199693,199693,'Gu' Ritual Wine Vessel with 'Taotie' Decor,Asian and Mediterranean Art,-1200,Vessels,http://nrs.harvard.edu/urn-3:HUAM:LEG002967_dynmc,,1,20488586,President and Fellows of Harvard College,LEG002967,H. 27.9 x Diam. 16.3 cm (11 x 6 7/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:LEG002966_dynmc,,2,20488585,President and Fellows of Harvard College,LEG002966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-700,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:DDC251258_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with gray-green patina; with a five-character dedicatory inscription cast on vessel floor,http://harvardartmuseums.org/collections/object/200497,200497,'Li' Ritual Food Vessel in the Form of a Square Stove and Cauldron,Asian and Mediterranean Art,-1000,Vessels,http://nrs.harvard.edu/urn-3:HUAM:DDC251258_dynmc,,1,47347261,President and Fellows of Harvard College,DDC251258,H. 17.9 x W. 15 x D. 12.3 cm (7 1/16 x 5 7/8 x 4 13/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:DDC251156_dynmc,,2,47347253,President and Fellows of Harvard College,DDC251156,http://nrs.harvard.edu/urn-3:HUAM:DDC251255_dynmc,inscription,3,47347258,President and Fellows of Harvard College,DDC251255,http://nrs.harvard.edu/urn-3:HUAM:DDC251256_dynmc,,4,47347259,President and Fellows of Harvard College,DDC251256,http://nrs.harvard.edu/urn-3:HUAM:DDC251257_dynmc,,5,47347260,President and Fellows of Harvard College,DDC251257,http://nrs.harvard.edu/urn-3:HUAM:DDC251259_dynmc,,6,47347262,President and Fellows of Harvard College,DDC251259,http://nrs.harvard.edu/urn-3:HUAM:VRS46952_dynmc,,7,20681535,President and Fellows of Harvard College,46952,,,,,,,,,,,,,,,,,,,,,
1984,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",http://nrs.harvard.edu/urn-3:HUAM:CARP09273_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/201065,201065,Fragment of an Eight-Lobed Mirror with Relief Decoration of Four Birds (one of three pieces that form a complete mirror),Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:CARP09273_dynmc,,1,18723099,President and Fellows of Harvard College,CARP09273,"L. 13 cm (5 1/8 in.)
complete mirror: Diam. 14.9 cm (5 7/8 in.)",Chinese,http://nrs.harvard.edu/urn-3:HUAM:CARP09274_dynmc,1984.215.A-C fragments assembled to form complete mirror,2,18723100,President and Fellows of Harvard College,CARP09274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",http://nrs.harvard.edu/urn-3:HUAM:CARP09272_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/201318,201318,Fragment of an Eight-Lobed Mirror with Relief Decoration of Four Birds (one of three pieces that form a complete mirror),Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:CARP09272_dynmc,,1,18723098,President and Fellows of Harvard College,CARP09272,"L. 9.5 cm (3 3/4 in.)
complete mirror: Diam. 14.9 cm (5 7/8 in.)",Chinese,http://nrs.harvard.edu/urn-3:HUAM:CARP09274_dynmc,1984.215.A-C fragments assembled to form complete mirror,2,18723100,President and Fellows of Harvard College,CARP09274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,-501,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Ralph C. Marcove, M.D.",http://nrs.harvard.edu/urn-3:HUAM:VRS12657_dynmc,2028470,Creation Place,"East Asia, China, Shandong province",Cast bronze. Probably from Shandong province.,http://harvardartmuseums.org/collections/object/201471,201471,Ritual Bell (Niu zhong) with Interlaced Dragon Decor,Asian and Mediterranean Art,-700,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:VRS12657_dynmc,,1,20669570,President and Fellows of Harvard College,12657,16.7 x 11.1 cm (6 9/16 x 4 3/8 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,1799,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Mrs. Paul Bernat",http://nrs.harvard.edu/urn-3:HUAM:VRS12729_dynmc,2028317,Creation Place,"East Asia, China",Gilt bronze and bronze with traces of blue pigment,http://harvardartmuseums.org/collections/object/201779,201779,Buddhist Altar Implement Representing One of the Eight Buddhist Treasures: Covered Urn on a Lotus Base,Asian and Mediterranean Art,1700,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:VRS12729_dynmc,1991.96 (left) and 1991.97 (right),1,20863354,President and Fellows of Harvard College,12729,H. 17.2 x Diam. 7 cm (6 3/4 x 2 3/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,300,"Harvard Art Museums/Arthur M. Sackler Museum, Museum Collection",http://nrs.harvard.edu/urn-3:HUAM:CARP09252_dynmc,2028317,Creation Place,"East Asia, China","Metal, probably iron, possibly bronze",http://harvardartmuseums.org/collections/object/202448,202448,Pointed Fragment from Object of Unknown Type,Asian and Mediterranean Art,-1000,Fragments,http://nrs.harvard.edu/urn-3:HUAM:CARP09252_dynmc,,1,18723079,President and Fellows of Harvard College,CARP09252,L. 2.5 cm (1 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:huam:DDC114287_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with heavy incrustations of green and russet patina,http://harvardartmuseums.org/collections/object/203946,203946,'Jue' Ritual Wine Vessel with 'Taotie' Decor,Asian and Mediterranean Art,-1400,Vessels,http://nrs.harvard.edu/urn-3:huam:DDC114287_dynmc,,1,44859329,,DDC114287,H. 19.7 x L. 16.5 x Diam. 6.3 cm (7 3/4 x 6 1/2 x 2 1/2 in.),Chinese,http://nrs.harvard.edu/urn-3:huam:DDC114288_dynmc,,2,44859330,,DDC114288,http://nrs.harvard.edu/urn-3:HUAM:VRS46929_dynmc,,3,20681525,President and Fellows of Harvard College,46929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-400,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51166_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze, Ordos type. From Northwestern China.",http://harvardartmuseums.org/collections/object/203984,203984,Yoke Ornament in the Form of a Crouching Tiger,Asian and Mediterranean Art,-500,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:51166_dynmc,,1,17386473,President and Fellows of Harvard College,51166,H. 13.9 x L. 24.2 x W. 8 cm (5 1/2 x 9 1/2 x 3 1/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44482_dynmc,,2,43182652,President and Fellows of Harvard College,44482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51096_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with gray-green patina,http://harvardartmuseums.org/collections/object/203989,203989,'Shao' Ritual Wine Ladle,Asian and Mediterranean Art,-1400,Tools and Equipment,http://nrs.harvard.edu/urn-3:HUAM:51096_dynmc,,1,17386427,President and Fellows of Harvard College,51096,"L. 27.1 x Diam. of cup 4.9 cm (10 11/16 x 1 15/16 in.)
Weight 255.15 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:48935_dynmc,,2,43183166,President and Fellows of Harvard College,48935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51318_dynmc,2028317,Creation Place,"East Asia, China",Black-surfaced cast bronze; with integrally cast dedicatory inscriptions by Qing inscribed on the vessel floor and interior of lid,http://harvardartmuseums.org/collections/object/203991,203991,'You' Covered Ritual Wine Vessel with Decorative Band of Dragons,Asian and Mediterranean Art,-1050,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51318_dynmc,,1,17386611,President and Fellows of Harvard College,51318,H. (with handle) 30.3 x W. 23.2 x D. 16.1 cm (11 15/16 x 9 1/8 x 6 5/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:20457_dynmc,,2,43181957,President and Fellows of Harvard College,20457,http://nrs.harvard.edu/urn-3:HUAM:48940_dynmc,,3,43183168,President and Fellows of Harvard College,48940,http://nrs.harvard.edu/urn-3:HUAM:51319_dynmc,,4,17386612,President and Fellows of Harvard College,51319,http://nrs.harvard.edu/urn-3:HUAM:51348_dynmc,,5,17386637,President and Fellows of Harvard College,51348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
